0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:08:29 +0530] "GET /Langs/ HTTP/1.1" 500 2507
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:09:17 +0530] "GET /Langs/ HTTP/1.1" 500 2756
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:14:34 +0530] "GET /Langs/ HTTP/1.1" 500 2507
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:14:55 +0530] "GET /Langs/ HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:15:33 +0530] "GET /Langs/ HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:18:44 +0530] "GET /Langs/ HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:18:55 +0530] "GET /Langs/ HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:25:04 +0530] "GET /Langs/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:25:04 +0530] "GET /Langs/google.com HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:25:21 +0530] "GET /Langs/google.com HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:25:29 +0530] "GET /Langs/google.com HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:25:39 +0530] "GET /Langs/google.com HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:25:42 +0530] "GET /Langs/google.com HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:25:42 +0530] "GET /Langs/google.com HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:25:42 +0530] "GET /Langs/google.com HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:25:42 +0530] "GET /Langs/google.com HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:25:42 +0530] "GET /Langs/google.com HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:26:16 +0530] "GET /Langs/google.com HTTP/1.1" 404 771
