2022-06-26 12:21:20,733 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-06-26 12:21:20,744 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\COURSES\3Java\practice ee\OnlineQuiz\OnlineTest\src\test\resources
2022-06-26 12:21:20,746 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of OnlineTest
2022-06-26 12:21:20,747 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for OnlineTest
2022-06-26 12:21:20,769 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-06-26 12:22:31,505 [Worker-4] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2022-06-26 12:22:32,773 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: onlineTest:OnlineTest:0.0.1-SNAPSHOT @ D:\COURSES\3Java\practice ee\OnlineQuiz\OnlineTest\pom.xml.
2022-06-26 12:22:33,520 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /OnlineTest/src/main/java
2022-06-26 12:22:33,520 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /OnlineTest/src/main/resources
2022-06-26 12:22:33,521 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /OnlineTest/src/test/java
2022-06-26 12:22:34,613 [Worker-4] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for OnlineTest
2022-06-26 12:22:34,632 [Worker-4] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 3 sec
2022-06-26 12:22:34,954 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-06-26 12:22:34,957 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-06-26 12:22:34,962 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-06-26 12:22:34,964 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\COURSES\3Java\practice ee\OnlineQuiz\OnlineTest\src\test\resources
2022-06-26 12:22:34,965 [Worker-3] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of OnlineTest
2022-06-26 12:22:34,965 [Worker-3] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for OnlineTest
2022-06-26 12:22:34,975 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
