127.0.0.1 - - [10/Jun/2022:04:40:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:40:54 +0530] "GET /ECommerce/ HTTP/1.1" 200 6497
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:40:54 +0530] "GET /ECommerce/utilities.css HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:40:54 +0530] "GET /ECommerce/img1.jpg HTTP/1.1" 200 50357
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:41:24 +0530] "GET /ECommerce/welcome.jsp HTTP/1.1" 500 1996
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:43:18 +0530] "GET /ECommerce/welcome.jsp HTTP/1.1" 500 1996
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:43:22 +0530] "GET /ECommerce/welcome.jsp HTTP/1.1" 500 1996
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:43:31 +0530] "GET /ECommerce/ HTTP/1.1" 200 6497
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:43:46 +0530] "GET /ECommerce/welcome.jsp HTTP/1.1" 500 1996
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:43:58 +0530] "GET /ECommerce/signin.jsp HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:43:58 +0530] "GET /ECommerce/register.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:44:14 +0530] "POST /ECommerce/signin.jsp HTTP/1.1" 200 7548
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:44:26 +0530] "GET /ECommerce/signout.jsp HTTP/1.1" 200 6497
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:44:33 +0530] "GET /ECommerce/signin.jsp HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [10/Jun/2022:04:44:43 +0530] "POST /ECommerce/signin.jsp HTTP/1.1" 200 7548
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:37:58 +0530] "GET /ECommerce/ HTTP/1.1" 200 6497
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:38:01 +0530] "GET /ECommerce/signin.jsp HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:38:13 +0530] "POST /ECommerce/signin.jsp HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:38:28 +0530] "POST /ECommerce/signin.jsp HTTP/1.1" 200 7548
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:39:08 +0530] "POST /ECommerce/signin.jsp HTTP/1.1" 200 7558
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:39:10 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 500 2306
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:39:47 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 500 2306
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:39:50 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 500 2823
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:40:19 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:41:23 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:41:26 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:41:35 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 200 4763
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:41:58 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 200 4694
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:42:32 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 200 4718
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:43:16 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 200 4744
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:44:51 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 200 4744
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:45:06 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:45:39 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 200 4712
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:46:33 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:46:46 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:47:24 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:47:34 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:48:58 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 200 4768
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:50:00 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 200 4690
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:50:48 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 200 4725
0:0:0:0:0:0:0:1 - - [10/Jun/2022:05:51:15 +0530] "GET /ECommerce/profile.jsp HTTP/1.1" 200 4749
