127.0.0.1 - - [13/Jun/2022:05:06:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Jun/2022:05:06:47 +0530] "GET /ECommerce/ HTTP/1.1" 200 6497
0:0:0:0:0:0:0:1 - - [13/Jun/2022:05:06:47 +0530] "GET /ECommerce/utilities.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2022:05:06:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Jun/2022:05:07:01 +0530] "GET /ECommerce/signin.jsp HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [13/Jun/2022:05:07:14 +0530] "POST /ECommerce/signin.jsp HTTP/1.1" 200 7856
0:0:0:0:0:0:0:1 - - [13/Jun/2022:05:28:16 +0530] "GET /ECommerce/ HTTP/1.1" 200 6551
0:0:0:0:0:0:0:1 - - [13/Jun/2022:05:28:19 +0530] "GET /ECommerce/index.jsp HTTP/1.1" 200 6551
0:0:0:0:0:0:0:1 - - [13/Jun/2022:05:28:21 +0530] "GET /ECommerce/contact.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [13/Jun/2022:05:28:27 +0530] "GET /ECommerce/index.jsp HTTP/1.1" 200 6551
0:0:0:0:0:0:0:1 - - [13/Jun/2022:05:29:50 +0530] "GET /ECommerce/ HTTP/1.1" 200 6551
0:0:0:0:0:0:0:1 - - [13/Jun/2022:05:29:50 +0530] "GET /ECommerce/ HTTP/1.1" 200 6551
0:0:0:0:0:0:0:1 - - [13/Jun/2022:05:29:52 +0530] "GET /ECommerce/contact.jsp HTTP/1.1" 200 2022
0:0:0:0:0:0:0:1 - - [13/Jun/2022:05:29:56 +0530] "GET /ECommerce/contact.jsp HTTP/1.1" 200 2022
0:0:0:0:0:0:0:1 - - [13/Jun/2022:05:33:13 +0530] "GET /ECommerce/index.jsp HTTP/1.1" 200 6551
0:0:0:0:0:0:0:1 - - [13/Jun/2022:05:33:16 +0530] "GET /ECommerce/contact.jsp HTTP/1.1" 200 2022
0:0:0:0:0:0:0:1 - - [13/Jun/2022:05:33:50 +0530] "GET /ECommerce/index.jsp HTTP/1.1" 200 6552
